Local time,Open,High,Low,Close,Volume
31.12.2018 01:30:00.000 GMT+0330,1280.235,1283.998,1277.365,1282.185,28331915.1402
01.01.2019 01:30:00.000 GMT+0330,1282.185,1282.185,1282.185,1282.185,0
02.01.2019 01:30:00.000 GMT+0330,1282.295,1288.668,1278.625,1284.215,37161757.3202
03.01.2019 01:30:00.000 GMT+0330,1285.105,1294.855,1284.485,1293.865,53835705.4293
04.01.2019 01:30:00.000 GMT+0330,1293.885,1298.538,1276.565,1284.945,48931258.7082
05.01.2019 01:30:00.000 GMT+0330,1284.945,1284.945,1284.945,1284.945,0
06.01.2019 01:30:00.000 GMT+0330,1284.945,1284.945,1284.945,1284.945,0
07.01.2019 01:30:00.000 GMT+0330,1285.048,1294.998,1282.555,1288.895,32577043.5931
08.01.2019 01:30:00.000 GMT+0330,1288.875,1290.158,1279.315,1284.845,32743860.051099997
09.01.2019 01:30:00.000 GMT+0330,1284.755,1293.848,1280.000,1293.145,30378110.289500006
10.01.2019 01:30:00.000 GMT+0330,1293.465,1297.018,1286.035,1286.285,33410740.3754
11.01.2019 01:30:00.000 GMT+0330,1286.565,1295.088,1286.535,1287.175,34892444.893699996
12.01.2019 01:30:00.000 GMT+0330,1287.175,1287.175,1287.175,1287.175,0
13.01.2019 01:30:00.000 GMT+0330,1287.175,1287.175,1287.175,1287.175,0
14.01.2019 01:30:00.000 GMT+0330,1287.348,1295.805,1287.248,1291.358,29276570.104
15.01.2019 01:30:00.000 GMT+0330,1291.825,1294.685,1286.665,1289.125,32217729.821600005
16.01.2019 01:30:00.000 GMT+0330,1289.685,1294.915,1287.805,1293.335,29019044.995199997
17.01.2019 01:30:00.000 GMT+0330,1293.915,1295.318,1288.875,1291.625,33515504.9713
18.01.2019 01:30:00.000 GMT+0330,1292.065,1292.375,1280.555,1281.265,28085764.929600004
19.01.2019 01:30:00.000 GMT+0330,1281.265,1281.265,1281.265,1281.265,0
20.01.2019 01:30:00.000 GMT+0330,1281.265,1281.265,1281.265,1281.265,0
21.01.2019 01:30:00.000 GMT+0330,1281.455,1283.465,1276.718,1280.138,11604284.867699997
22.01.2019 01:30:00.000 GMT+0330,1279.535,1285.425,1277.365,1284.825,28316684.8122
23.01.2019 01:30:00.000 GMT+0330,1284.905,1286.438,1278.605,1282.395,24244245.1418
24.01.2019 01:30:00.000 GMT+0330,1282.665,1284.725,1276.585,1280.855,29272630.2744
25.01.2019 01:30:00.000 GMT+0330,1280.725,1303.525,1280.000,1302.935,28895294.606799994
26.01.2019 01:30:00.000 GMT+0330,1302.935,1302.935,1302.935,1302.935,0
27.01.2019 01:30:00.000 GMT+0330,1302.935,1302.935,1302.935,1302.935,0
28.01.2019 01:30:00.000 GMT+0330,1301.335,1304.335,1297.615,1302.965,22150955.9601
29.01.2019 01:30:00.000 GMT+0330,1302.925,1311.948,1302.635,1311.345,29483615.100300003
30.01.2019 01:30:00.000 GMT+0330,1311.255,1323.298,1308.945,1319.035,28887274.682500005
31.01.2019 01:30:00.000 GMT+0330,1320.195,1326.248,1317.385,1320.915,29120645.105899997
01.02.2019 01:30:00.000 GMT+0330,1321.215,1323.465,1316.085,1317.265,24464634.9102
02.02.2019 01:30:00.000 GMT+0330,1317.265,1317.265,1317.265,1317.265,0
03.02.2019 01:30:00.000 GMT+0330,1317.265,1317.265,1317.265,1317.265,0
04.02.2019 01:30:00.000 GMT+0330,1317.925,1318.965,1308.535,1311.795,22806319.9075
05.02.2019 01:30:00.000 GMT+0330,1312.115,1316.825,1310.625,1314.715,23687858.089800004
06.02.2019 01:30:00.000 GMT+0330,1314.998,1315.765,1305.515,1306.165,25299369.991000004
07.02.2019 01:30:00.000 GMT+0330,1306.445,1311.878,1302.705,1309.745,26551112.041
08.02.2019 01:30:00.000 GMT+0330,1309.865,1315.568,1307.698,1313.945,25071609.973899994
09.02.2019 01:30:00.000 GMT+0330,1313.945,1313.945,1313.945,1313.945,0
10.02.2019 01:30:00.000 GMT+0330,1313.945,1313.945,1313.945,1313.945,0
11.02.2019 01:30:00.000 GMT+0330,1314.098,1314.815,1303.595,1307.745,23259030.312499996
12.02.2019 01:30:00.000 GMT+0330,1307.975,1314.668,1306.405,1310.475,17737995.043700002
13.02.2019 01:30:00.000 GMT+0330,1310.805,1318.078,1304.975,1305.915,23028079.956800003
14.02.2019 01:30:00.000 GMT+0330,1305.685,1314.308,1302.288,1312.075,30280491.978
15.02.2019 01:30:00.000 GMT+0330,1312.265,1322.555,1311.328,1321.035,23056900.083999995
16.02.2019 01:30:00.000 GMT+0330,1321.035,1321.035,1321.035,1321.035,0
17.02.2019 01:30:00.000 GMT+0330,1321.035,1321.035,1321.035,1321.035,0
18.02.2019 01:30:00.000 GMT+0330,1320.882,1327.545,1320.405,1326.375,10424799.978999998
19.02.2019 01:30:00.000 GMT+0330,1326.145,1341.778,1322.778,1340.565,25793445.065700002
20.02.2019 01:30:00.000 GMT+0330,1340.305,1346.655,1336.798,1338.065,27360935.002499998
21.02.2019 01:30:00.000 GMT+0330,1338.705,1341.425,1320.858,1323.345,53925295.084699996
22.02.2019 01:30:00.000 GMT+0330,1323.495,1333.038,1321.468,1327.885,35858300.1792
23.02.2019 01:30:00.000 GMT+0330,1327.885,1327.885,1327.885,1327.885,0
24.02.2019 01:30:00.000 GMT+0330,1327.885,1327.885,1327.885,1327.885,0
25.02.2019 01:30:00.000 GMT+0330,1328.835,1332.485,1325.115,1327.185,24829335.212899998
26.02.2019 01:30:00.000 GMT+0330,1326.975,1330.128,1323.445,1328.605,23411464.7359
27.02.2019 01:30:00.000 GMT+0330,1328.335,1329.808,1316.815,1319.465,33405525.296899997
28.02.2019 01:30:00.000 GMT+0330,1319.275,1327.228,1312.518,1312.835,27957705.132700004
01.03.2019 01:30:00.000 GMT+0330,1313.475,1315.138,1290.098,1293.055,41431089.8482
02.03.2019 01:30:00.000 GMT+0330,1293.055,1293.055,1293.055,1293.055,0
03.03.2019 01:30:00.000 GMT+0330,1293.055,1293.055,1293.055,1293.055,0
04.03.2019 01:30:00.000 GMT+0330,1292.705,1296.995,1282.758,1286.498,31136410.3854
05.03.2019 01:30:00.000 GMT+0330,1286.215,1289.535,1281.128,1287.525,39971010.10389999
06.03.2019 01:30:00.000 GMT+0330,1287.515,1290.885,1283.545,1285.145,33160999.775
07.03.2019 01:30:00.000 GMT+0330,1285.575,1288.975,1280.485,1285.125,38266014.8887
08.03.2019 01:30:00.000 GMT+0330,1285.935,1300.708,1285.128,1298.055,39427154.57079999
09.03.2019 01:30:00.000 GMT+0330,1298.055,1298.055,1298.055,1298.055,0
10.03.2019 01:30:00.000 GMT+0330,1298.055,1298.055,1298.055,1298.055,0
11.03.2019 00:30:00.000 GMT+0330,1297.765,1299.045,1290.395,1293.255,26779335.2308
12.03.2019 00:30:00.000 GMT+0330,1293.385,1302.148,1291.988,1300.722,33887115.0913
13.03.2019 00:30:00.000 GMT+0330,1301.215,1311.168,1300.505,1307.915,29252804.935
14.03.2019 00:30:00.000 GMT+0330,1308.735,1310.275,1292.775,1295.155,33688354.93920001
15.03.2019 00:30:00.000 GMT+0330,1295.845,1306.328,1293.928,1301.875,32007184.4908
16.03.2019 00:30:00.000 GMT+0330,1301.875,1301.875,1301.875,1301.875,0
17.03.2019 00:30:00.000 GMT+0330,1301.875,1301.875,1301.875,1301.875,0
18.03.2019 00:30:00.000 GMT+0330,1301.855,1306.668,1298.155,1303.355,22396298.1176
19.03.2019 00:30:00.000 GMT+0330,1303.498,1310.835,1302.288,1306.255,22032839.9315
20.03.2019 00:30:00.000 GMT+0330,1305.045,1316.938,1298.605,1311.895,38597265.18380001
21.03.2019 00:30:00.000 GMT+0330,1312.955,1320.305,1303.205,1309.145,34896218.1658
22.03.2019 01:30:00.000 GMT+0430,1309.115,1314.898,1306.778,1313.075,37982749.10440001
23.03.2019 01:30:00.000 GMT+0430,1313.075,1313.075,1313.075,1313.075,0
24.03.2019 01:30:00.000 GMT+0430,1313.075,1313.075,1313.075,1313.075,0
25.03.2019 01:30:00.000 GMT+0430,1313.105,1324.448,1310.958,1321.698,30726113.0213
26.03.2019 01:30:00.000 GMT+0430,1321.555,1323.165,1312.625,1315.477,36658030.3163
